14:58:53 [INFO] Opening target process: csgo.exe
14:58:53 [INFO] Starting signature scanning: 57 items
14:58:53 [INFO] Found signature: dwClientState => 0x588FEC
14:58:53 [INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
14:58:53 [INFO] Found signature: dwClientState_IsHLTV => 0x4D48
14:58:53 [INFO] Found signature: dwClientState_Map => 0x28C
14:58:53 [INFO] Found signature: dwClientState_MapDirectory => 0x188
14:58:53 [INFO] Found signature: dwClientState_MaxPlayer => 0x388
14:58:53 [INFO] Found signature: dwClientState_PlayerInfo => 0x52C0
14:58:53 [INFO] Found signature: dwClientState_State => 0x108
14:58:53 [WARN] dwClientState_ViewAngles sigscan failed: Pattern not found
14:58:53 [INFO] Found signature: clientstate_delta_ticks => 0x174
14:58:53 [INFO] Found signature: clientstate_last_outgoing_command => 0x4D2C
14:58:53 [INFO] Found signature: clientstate_choked_commands => 0x4D30
14:58:53 [INFO] Found signature: clientstate_net_channel => 0x9C
14:58:53 [INFO] Found signature: dwEntityList => 0x4DA21AC
14:58:53 [INFO] Found signature: dwForceAttack => 0x31D26EC
14:58:53 [INFO] Found signature: dwForceAttack2 => 0x31D26F8
14:58:53 [INFO] Found signature: dwForceBackward => 0x31D2740
14:58:53 [INFO] Found signature: dwForceForward => 0x31D274C
14:58:53 [INFO] Found signature: dwForceJump => 0x524BF9C
14:58:53 [INFO] Found signature: dwForceLeft => 0x31D2764
14:58:53 [INFO] Found signature: dwForceRight => 0x31D2758
14:58:53 [INFO] Found signature: dwGameDir => 0x627780
14:58:53 [INFO] Found signature: dwGameRulesProxy => 0x52BF28C
14:58:53 [INFO] Found signature: dwGetAllClasses => 0xDB101C
14:58:53 [INFO] Found signature: dwGlobalVars => 0x588CF0
14:58:53 [INFO] Found signature: dwGlowObjectManager => 0x52EA640
14:58:53 [INFO] Found signature: dwInput => 0x51F3770
14:58:53 [INFO] Found signature: dwInterfaceLinkList => 0x944B44
14:58:53 [INFO] Found signature: dwLocalPlayer => 0xD892CC
14:58:53 [INFO] Found signature: dwMouseEnable => 0xD8EE18
14:58:53 [INFO] Found signature: dwMouseEnablePtr => 0xD8EDE8
14:58:53 [INFO] Found signature: dwPlayerResource => 0x31D0A60
14:58:53 [INFO] Found signature: dwRadarBase => 0x51D6F24
14:58:53 [INFO] Found signature: dwSensitivity => 0xD8ECB4
14:58:53 [INFO] Found signature: dwSensitivityPtr => 0xD8EC88
14:58:53 [INFO] Found signature: dwSetClanTag => 0x8A1B0
14:58:53 [INFO] Found signature: dwViewMatrix => 0x4D93AC4
14:58:53 [INFO] Found signature: dwWeaponTable => 0x51F4230
14:58:53 [INFO] Found signature: dwWeaponTableIndex => 0x325C
14:58:53 [INFO] Found signature: dwYawPtr => 0xD8EA78
14:58:53 [INFO] Found signature: dwZoomSensitivityRatioPtr => 0xD93D18
14:58:53 [INFO] Found signature: dwbSendPackets => 0xD76CA
14:58:53 [INFO] Found signature: dwppDirect3DDevice9 => 0xA7050
14:58:53 [INFO] Found signature: m_pStudioHdr => 0x294C
14:58:53 [INFO] Found signature: m_yawClassPtr => 0xD8EA78
14:58:53 [INFO] Found signature: m_pitchClassPtr => 0x51D71C0
14:58:53 [INFO] Found signature: interface_engine_cvar => 0x3E9EC
14:58:53 [INFO] Found signature: convar_name_hash_table => 0x2F0F8
14:58:53 [INFO] Found signature: m_bDormant => 0xED
14:58:53 [INFO] Found signature: model_ambient_min => 0x58C064
14:58:53 [INFO] Found signature: set_abs_angles => 0x1E0AC0
14:58:53 [INFO] Found signature: set_abs_origin => 0x1E0900
14:58:53 [INFO] Found signature: is_c4_owner => 0x3BC2C0
14:58:53 [INFO] Found signature: force_update_spectator_glow => 0x3AF66A
14:58:53 [INFO] Found signature: anim_overlays => 0x2980
14:58:53 [INFO] Found signature: m_flSpawnTime => 0xA370
14:58:53 [INFO] Found signature: find_hud_element => 0x2884F720
14:58:53 [INFO] Finished signature scanning: 56/57 items successful
14:58:53 [INFO] Starting netvar scanning: 92 items
14:58:53 [INFO] Found netvar: m_ArmorValue => 0xB37C
14:58:53 [INFO] Found netvar: m_Collision => 0x320
14:58:53 [INFO] Found netvar: m_CollisionGroup => 0x474
14:58:53 [INFO] Found netvar: m_Local => 0x2FBC
14:58:53 [INFO] Found netvar: m_MoveType => 0x25B
14:58:53 [INFO] Found netvar: m_OriginalOwnerXuidHigh => 0x31C4
14:58:53 [INFO] Found netvar: m_OriginalOwnerXuidLow => 0x31C0
14:58:53 [INFO] Found netvar: m_aimPunchAngle => 0x302C
14:58:53 [INFO] Found netvar: m_aimPunchAngleVel => 0x3038
14:58:53 [INFO] Found netvar: m_bGunGameImmunity => 0x3944
14:58:53 [INFO] Found netvar: m_bHasDefuser => 0xB38C
14:58:53 [INFO] Found netvar: m_bHasHelmet => 0xB370
14:58:53 [INFO] Found netvar: m_bInReload => 0x3238
14:58:53 [INFO] Found netvar: m_bIsDefusing => 0x3930
14:58:53 [INFO] Found netvar: m_bIsScoped => 0x3928
14:58:53 [INFO] Found netvar: m_bSpotted => 0x93D
14:58:53 [INFO] Found netvar: m_bSpottedByMask => 0x980
14:58:53 [INFO] Found netvar: m_dwBoneMatrix => 0x268C
14:58:53 [INFO] Found netvar: m_fAccuracyPenalty => 0x3330
14:58:53 [INFO] Found netvar: m_fFlags => 0x104
14:58:53 [INFO] Found netvar: m_hViewModel => 0x32F8
14:58:53 [INFO] Found netvar: m_flFallbackWear => 0x31D0
14:58:53 [INFO] Found netvar: m_flFlashDuration => 0xA420
14:58:53 [INFO] Found netvar: m_flFlashMaxAlpha => 0xA41C
14:58:53 [INFO] Found netvar: m_flNextPrimaryAttack => 0x3238
14:58:53 [INFO] Found netvar: m_hActiveWeapon => 0x2EF8
14:58:53 [INFO] Found netvar: m_hMyWeapons => 0x2EF8
14:58:53 [INFO] Found netvar: m_hObserverTarget => 0x338C
14:58:53 [INFO] Found netvar: m_hOwner => 0x29CC
14:58:53 [INFO] Found netvar: m_hOwnerEntity => 0x14C
14:58:53 [INFO] Found netvar: m_iAccountID => 0x2FC8
14:58:53 [INFO] Found netvar: m_iClip1 => 0x3264
14:58:53 [INFO] Found netvar: m_zoomLevel => 0x33D0
14:58:53 [INFO] Found netvar: m_iCompetitiveRanking => 0x1A84
